seed,task_id,task_description,target_object_name,target_object_init_x,target_object_init_y,target_object_init_z,ee_trajectory_path,final_ee_x,final_ee_y,final_ee_z,success,num_steps
0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.06347439952612713,0.20202570582559573,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_0.json,0.06026728296299401,0.1441483459314059,0.9362934446614586,True,90
1,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.06430684693970398,0.19694196653565282,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_1.json,0.04937707741309892,0.16507524789419084,0.9417085898715466,True,219
2,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.09862633219219336,0.1975039177699599,0.898987858341585,/Users/gsn89/ReadTeam/spike_trajectories/seed_2.json,0.07250877579891232,0.15939876378761764,0.9269163579720363,True,88
3,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.04730596598634806,0.20108346763408103,0.8986242906631964,/Users/gsn89/ReadTeam/spike_trajectories/seed_3.json,0.06276823857963987,0.1418709971032721,0.9590325485975432,True,146
4,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.047029137279121946,0.18647370544300684,0.8984070750972715,/Users/gsn89/ReadTeam/spike_trajectories/seed_4.json,0.06452016560951061,0.1533471097612205,0.9480407458120296,True,74
5,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.05857675164312938,0.21423005833685185,0.8984070750971057,/Users/gsn89/ReadTeam/spike_trajectories/seed_5.json,0.046514134198639694,0.16690476433914553,0.9374703551797354,True,116
6,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.05024689923512161,0.18621644204254012,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_6.json,0.04948959475354306,0.15595429589871737,0.9356745694325006,True,74
7,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.04729282014194157,0.1861171348393716,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_7.json,0.05926568376361962,0.1645121384730894,0.93839165610021,True,82
8,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.06182260092573303,0.2010369681495863,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_8.json,0.08110497690659657,0.15913321717824794,0.9452362972327149,True,94
9,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.045690345846532324,0.20105808807091108,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_9.json,0.05209152568270711,0.15841416900740385,0.9314539832758302,True,80
10,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.07289092654913351,0.21146336489937242,0.8984070750970008,/Users/gsn89/ReadTeam/spike_trajectories/seed_10.json,0.058571861616406165,0.13351868475776288,0.9254660494905975,True,98
11,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.05791858143444504,0.21070750755147571,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_11.json,0.06558216390382833,0.16356390099117168,0.9508633437577965,True,78
12,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.05554198317506275,0.1886199868591536,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_12.json,0.06410284930961746,0.14194743870388238,0.9457401180998843,True,91
13,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.0779683565535218,0.22138348267860256,0.8984070750964107,/Users/gsn89/ReadTeam/spike_trajectories/seed_13.json,0.004793341126718262,0.15449317741462834,0.9148356980224115,False,220
14,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.08059004414843746,0.19878997195149292,0.8984070750965216,/Users/gsn89/ReadTeam/spike_trajectories/seed_14.json,0.08170537538898391,0.165149693268449,0.9768113445982985,True,81
15,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.04960156617631951,0.19040742613435702,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_15.json,0.05516972813262395,0.15320452572751958,0.9446992904442427,True,83
16,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.052590196826046966,0.19785959559160735,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_16.json,0.017181632329014793,0.16028739225204564,0.9577626749093207,False,220
17,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.05239474526910928,0.20884140627085482,0.8984070750975269,/Users/gsn89/ReadTeam/spike_trajectories/seed_17.json,0.047701897576391185,0.16947942978444192,0.938433340353988,True,70
18,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.09185778353748972,0.18706503393745988,0.8984070750953023,/Users/gsn89/ReadTeam/spike_trajectories/seed_18.json,0.0733087147616798,0.14652731082481754,0.9508052592550359,True,92
19,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,-0.04740847134619235,0.18464056107176238,0.8984070750972882,/Users/gsn89/ReadTeam/spike_trajectories/seed_19.json,0.04484626345589596,0.1537961510695835,0.9284703646117987,True,86
